Company Name,Type,Ex-Date,Record Date,Date Paid/Payable,Particulars
"CHINA UNICOM HK LTD ADR 10","DIVIDEND","13 May 2016","17 May 2016","20 Jun 2016","INDICATIVE RATE USD 0.235947"
"ELEC & ELTEK INT CO LTD","DIVIDEND","13 May 2016","17 May 2016","30 May 2016","USD 0.03 ONE-TIER TAX"
"INNOVALUES LIMITED","DIVIDEND","13 May 2016","17 May 2016","30 May 2016","SGD 0.014 ONE-TIER TAX"
"INNOVALUES LIMITED","DIVIDEND","13 May 2016","17 May 2016","30 May 2016","SGD 0.012 ONE-TIER TAX"
"LHT HOLDINGS LIMITED","DIVIDEND","13 May 2016","17 May 2016","26 May 2016","SGD 0.03 ONE-TIER TAX"
"OUE LIMITED","DIVIDEND","13 May 2016","17 May 2016","27 May 2016","SGD 0.01 ONE-TIER TAX"
"AEM HOLDINGS LTD","DIVIDEND","12 May 2016","16 May 2016","27 May 2016","SGD 0.01 ONE-TIER TAX"
"HENGXIN TECHNOLOGY LTD.","DIVIDEND","12 May 2016","16 May 2016","30 May 2016","CNY 0.0297 ONE-TIER TAX"
"JARDINE CYCLE & CARRIAGE LTD","DIVIDEND","12 May 2016","16 May 2016","23 Jun 2016","USD 0.51 ONE-TIER TAX"
"LUNG KEE (BERMUDA) HLDGS LTD","DIVIDEND","12 May 2016","16 May 2016","02 Jun 2016","HKD 0.05"
"LUNG KEE (BERMUDA) HLDGS LTD","DIVIDEND","12 May 2016","16 May 2016","02 Jun 2016","HKD 0.08"
"SHENG SIONG GROUP LTD","DIVIDEND","12 May 2016","16 May 2016","26 May 2016","SGD 0.0175 ONE-TIER TAX"
"SUPER GROUP LTD.","DIVIDEND","12 May 2016","16 May 2016","26 May 2016","SGD 0.012 ONE-TIER TAX"
"UNITED OVERSEAS AUSTRALIA LTD","DIVIDEND","12 May 2016","16 May 2016","07 Jun 2016","DRP ESTIMATED AUD 0.025"
"VALLIANZ HOLDINGS LIMITED","DIVIDEND","12 May 2016","16 May 2016","01 Jun 2016","USD 0.0005 ONE-TIER TAX"
"ASPIAL CORPORATION LIMITED","DIVIDEND","10 May 2016","12 May 2016","23 Jun 2016","SCRIP DIV SCH SGD 0.01 ONE-TIER TAX"
"AVI-TECH ELECTRONICS LIMITED","DIVIDEND","10 May 2016","12 May 2016","27 May 2016","SGD 0.008 ONE-TIER TAX"
"FEDERAL INT(2000) LTD","DIVIDEND","10 May 2016","12 May 2016","27 May 2016","SGD 0.015 ONE-TIER TAX"
"HO BEE LAND LIMITED","DIVIDEND","10 May 2016","12 May 2016","27 May 2016","SGD 0.02 ONE-TIER TAX"
"HO BEE LAND LIMITED","DIVIDEND","10 May 2016","12 May 2016","27 May 2016","SGD 0.05 ONE-TIER TAX"
"MAXI-CASH FIN SVCS CORP LTD","DIVIDEND","10 May 2016","12 May 2016","27 Jun 2016","SCRIP DIV SCH SGD 0.005 ONE-TIER TAX"
"MEGACHEM LIMITED","DIVIDEND","10 May 2016","12 May 2016","31 May 2016","SGD 0.007 ONE-TIER TAX"
"POH TIONG CHOON LOGISTICS LTD","DIVIDEND","10 May 2016","12 May 2016","31 May 2016","SGD 0.0225 ONE-TIER TAX"
"SHS HOLDINGS LIMITED","DIVIDEND","10 May 2016","12 May 2016","23 May 2016","SGD 0.0368 ONE-TIER TAX"
"SHS HOLDINGS LIMITED","DIVIDEND","10 May 2016","12 May 2016","23 May 2016","SGD 0.0032 ONE-TIER TAX"
"SRI TRANG AGRO-INDUSTRY PCL","DIVIDEND","10 May 2016","12 May 2016","27 May 2016","THB 0.4 NET OF TAX"
"UPP HOLDINGS LIMITED","DIVIDEND","10 May 2016","12 May 2016","25 May 2016","SGD 0.01 ONE-TIER TAX"
"HOTEL GRAND CENTRAL LTD","DIVIDEND","09 May 2016","11 May 2016","20 May 2016","SGD 0.05 ONE-TIER TAX"
"KOYO INTERNATIONAL LIMITED","DIVIDEND","09 May 2016","11 May 2016","20 May 2016","SGD 0.0015 ONE-TIER TAX"
"MUN SIONG ENGINEERING LIMITED","DIVIDEND","09 May 2016","11 May 2016","27 May 2016","SGD 0.002 ONE-TIER TAX"
"MUN SIONG ENGINEERING LIMITED","DIVIDEND","09 May 2016","11 May 2016","27 May 2016","SGD 0.0015 ONE-TIER TAX"
"ZHONGMIN BAIHUI RETAIL GRP LTD","DIVIDEND","09 May 2016","11 May 2016","24 May 2016","SGD 0.015 ONE-TIER TAX"
"PLASTOFORM HOLDINGS LIMITED","DIVIDEND","06 May 2016","10 May 2016","24 May 2016","HKD 0.0665"
"SAN TEH LIMITED","DIVIDEND","06 May 2016","10 May 2016","25 May 2016","SGD 0.003 ONE-TIER TAX"
"SECURA GROUP LIMITED","DIVIDEND","06 May 2016","10 May 2016","25 May 2016","SGD 0.003 ONE-TIER TAX"
"WILMAR INTERNATIONAL LIMITED","DIVIDEND","06 May 2016","10 May 2016","18 May 2016","SGD 0.055 ONE-TIER TAX"
"CENTURION CORPORATION LIMITED","DIVIDEND","05 May 2016","09 May 2016","20 May 2016","SGD 0.01 ONE-TIER TAX"
"COMFORTDELGRO CORPORATION LTD","DIVIDEND","05 May 2016","09 May 2016","16 May 2016","SGD 0.05 ONE-TIER TAX"
"DBS GROUP HOLDINGS LTD","DIVIDEND","05 May 2016","09 May 2016","27 Jun 2016","SCRIPDIVSCHEME SGD 0.3 ONE-TIER TAX"
"FIRST RESOURCES LIMITED","DIVIDEND","05 May 2016","09 May 2016","19 May 2016","SGD 0.0125 ONE-TIER TAX"
"FIRST SPONSOR GROUP LIMITED","DIVIDEND","05 May 2016","09 May 2016","26 May 2016","SGD 0.01 ONE-TIER TAX"
"HONG LEONG ASIA LTD.","DIVIDEND","05 May 2016","09 May 2016","19 May 2016","SGD 0.01 ONE-TIER TAX"
"HYFLUX LTD","DIVIDEND","05 May 2016","09 May 2016","25 May 2016","SGD 0.01 ONE-TIER TAX"
"INDOFOOD AGRI RESOURCES LTD.","DIVIDEND","05 May 2016","09 May 2016","20 May 2016","SGD 0.005 ONE-TIER TAX"
"KORI HOLDINGS LIMITED","DIVIDEND","05 May 2016","09 May 2016","24 May 2016","SGD 0.005 ONE-TIER TAX"
"MDR LIMITED","DIVIDEND","05 May 2016","09 May 2016","23 May 2016","SGD 0.0000798 ONE-TIER TAX"
"NERATELECOMMUNICATIONS LTD","DIVIDEND","05 May 2016","09 May 2016","20 May 2016","SGD 0.01 ONE-TIER TAX"
"PACIFIC RADIANCE LTD.","DIVIDEND","05 May 2016","09 May 2016","20 May 2016","SGD 0.01 ONE-TIER TAX"
"THAI BEVERAGE PUBLIC CO LTD","DIVIDEND","05 May 2016","09 May 2016","26 May 2016","THB 0.46 LESS TAX"
"TUAN SING HOLDINGS LIMITED","DIVIDEND","05 May 2016","09 May 2016","24 Jun 2016","SCRIP DIV SCH SGD 0.006 ONE-TIER TAX"
"UMS HOLDINGS LIMITED","DIVIDEND","05 May 2016","09 May 2016","30 May 2016","SGD 0.01 ONE-TIER TAX"
"UMS HOLDINGS LIMITED","DIVIDEND","05 May 2016","09 May 2016","30 May 2016","SGD 0.02 ONE-TIER TAX"
"UNITED ENGINEERS 7.5% CUM PREF","DIVIDEND","05 May 2016","09 May 2016","25 May 2016","SGD 0.075 ONE-TIER TAX"
"UNITED ENGINEERS LTD ORD","DIVIDEND","05 May 2016","09 May 2016","25 May 2016","SGD 0.03 ONE-TIER TAX"
"UNITED ENGINEERS LTD ORD","DIVIDEND","05 May 2016","09 May 2016","25 May 2016","SGD 0.05 ONE-TIER TAX"
"VENTURE CORPORATION LIMITED","DIVIDEND","05 May 2016","09 May 2016","18 May 2016","SGD 0.5 ONE-TIER TAX"
"WHEELOCK PROPERTIES (S) LTD","DIVIDEND","05 May 2016","09 May 2016","18 May 2016","SGD 0.06 ONE-TIER TAX"
"BEST WORLD INTERNATIONAL LTD","DIVIDEND","04 May 2016","06 May 2016","23 May 2016","SGD 0.015 ONE-TIER TAX"
"BONVESTS HOLDINGS LTD","DIVIDEND","04 May 2016","06 May 2016","20 May 2016","SGD 0.016 ONE-TIER TAX"
"CHALLENGER TECHNOLOGIES LTD","DIVIDEND","04 May 2016","06 May 2016","18 May 2016","SGD 0.0155 ONE-TIER TAX"
"MEMTECH INTERNATIONAL LTD","DIVIDEND","04 May 2016","06 May 2016","18 May 2016","SGD 0.033 ONE-TIER TAX"
"PAN-UNITED CORPORATION LTD","DIVIDEND","04 May 2016","06 May 2016","26 May 2016","SGD 0.0275 ONE-TIER TAX"
"PERENNIAL REAL ESTATE HOLDINGS LIMITED","DIVIDEND","04 May 2016","06 May 2016","20 May 2016","SGD 0.004 ONE-TIER TAX"
"SBS TRANSIT LTD","DIVIDEND","04 May 2016","06 May 2016","13 May 2016","SGD 0.0105 ONE-TIER TAX"
"TA CORPORATION LTD","DIVIDEND","04 May 2016","06 May 2016","21 Jun 2016","SCRIP DIV SCH SGD 0.01 ONE-TIER TAX"
"TALKMED GROUP LIMITED","DIVIDEND","04 May 2016","06 May 2016","13 May 2016","SGD 0.02305 ONE-TIER TAX"
"TECHCOMP (HOLDINGS) LIMITED","DIVIDEND","04 May 2016","06 May 2016","27 May 2016","HKD 0.028"
"CHIP ENG SENG CORPORATION LTD","DIVIDEND","03 May 2016","05 May 2016","20 May 2016","SGD 0.04 ONE-TIER TAX"
"CITY DEVELOPMENTS LIMITED","DIVIDEND","03 May 2016","05 May 2016","20 May 2016","SGD 0.04 ONE-TIER TAX"
"CITY DEVELOPMENTS LIMITED","DIVIDEND","03 May 2016","05 May 2016","20 May 2016","SGD 0.08 ONE-TIER TAX"
"COMBINE WILL INTL HLDGS LTD","DIVIDEND","03 May 2016","05 May 2016","31 May 2016","SGD 0.045"
"FRENCKEN GROUP LIMITED","DIVIDEND","03 May 2016","05 May 2016","13 May 2016","SGD 0.0075 ONE-TIER TAX"
"HOCK LIAN SENG HOLDINGS LTD","DIVIDEND","03 May 2016","05 May 2016","20 May 2016","SGD 0.025 ONE-TIER TAX"
"HONG LEONG FINANCE LIMITED","DIVIDEND","03 May 2016","05 May 2016","23 May 2016","SGD 0.07 ONE-TIER TAX"
"HWA HONG CORPORATION LIMITED","DIVIDEND","03 May 2016","05 May 2016","20 May 2016","SGD 0.01 ONE-TIER TAX"
"MEWAH INTERNATIONAL INC.","DIVIDEND","03 May 2016","05 May 2016","12 May 2016","SGD 0.0045 ONE-TIER TAX"
"OVERSEAS EDUCATION LIMITED","DIVIDEND","03 May 2016","05 May 2016","17 May 2016","SGD 0.01375 ONE-TIER TAX"
"Q & M DENTAL GROUP (S) LIMITED","DIVIDEND","03 May 2016","05 May 2016","18 May 2016","SGD 0.0042 ONE-TIER TAX"
"SMARTFLEX HOLDINGS LTD","DIVIDEND","03 May 2016","05 May 2016","19 May 2016","SGD 0.0085 ONE-TIER TAX"
"TELECHOICE INTERNATIONAL LTD","DIVIDEND","03 May 2016","05 May 2016","20 May 2016","SGD 0.016 ONE-TIER TAX"
"VICOM LTD","DIVIDEND","03 May 2016","05 May 2016","12 May 2016","SGD 0.1025 ONE-TIER TAX"
"VICOM LTD","DIVIDEND","03 May 2016","05 May 2016","12 May 2016","SGD 0.095 ONE-TIER TAX"
"YEO HIAP SENG LTD","DIVIDEND","03 May 2016","05 May 2016","18 May 2016","SGD 0.02 ONE-TIER TAX"
"BBR HOLDINGS (S) LTD","DIVIDEND","29 Apr 2016","04 May 2016","20 May 2016","SGD 0.004 ONE-TIER TAX"
"COLEX HOLDINGS LIMITED","DIVIDEND","29 Apr 2016","04 May 2016","16 May 2016","SGD 0.0055 ONE-TIER TAX"
"MFG INTEGRATION TECHNOLOGY LTD","DIVIDEND","29 Apr 2016","04 May 2016","16 May 2016","SGD 0.005 ONE-TIER TAX"
"SINGAPORE REINSURANCE COR LTD","DIVIDEND","29 Apr 2016","04 May 2016","23 May 2016","SGD 0.006 ONE-TIER TAX"
"UOB-KAY HIAN HOLDINGS LIMITED","DIVIDEND","29 Apr 2016","04 May 2016","16 Jun 2016","DRP SGD 0.045 ONE-TIER TAX"
"WEE HUR HOLDINGS LTD.","DIVIDEND","29 Apr 2016","04 May 2016","12 May 2016","SGD 0.0075 ONE-TIER TAX"
"BAKER TECHNOLOGY LIMITED","DIVIDEND","28 Apr 2016","03 May 2016","13 May 2016","SGD 0.005 ONE-TIER TAX"
"CHINA AVIATION OIL(S) CORP LTD","DIVIDEND","28 Apr 2016","03 May 2016","17 May 2016","SGD 0.03 ONE-TIER TAX"
"CSE GLOBAL LTD","DIVIDEND","28 Apr 2016","03 May 2016","20 May 2016","SGD 0.0025 ONE-TIER TAX"
"CSE GLOBAL LTD","DIVIDEND","28 Apr 2016","03 May 2016","20 May 2016","SGD 0.0125 ONE-TIER TAX"
"OKP HOLDINGS LIMITED","DIVIDEND","28 Apr 2016","03 May 2016","17 May 2016","SGD 0.01 ONE-TIER TAX"
"OLAM INTERNATIONAL LIMITED","DIVIDEND","28 Apr 2016","03 May 2016","10 May 2016","SGD 0.035 ONE-TIER TAX"
"DYNAMIC COLOURS LIMITED","DIVIDEND","27 Apr 2016","29 Apr 2016","13 May 2016","SGD 0.025 ONE-TIER TAX"
"DYNAMIC COLOURS LIMITED","DIVIDEND","27 Apr 2016","29 Apr 2016","13 May 2016","SGD 0.0075 ONE-TIER TAX"
"LEE METAL GROUP LTD","DIVIDEND","27 Apr 2016","29 Apr 2016","23 May 2016","SGD 0.01 ONE-TIER TAX"
"ROTARY ENGINEERING LIMITED","DIVIDEND","27 Apr 2016","29 Apr 2016","19 May 2016","SGD 0.015 ONE-TIER TAX"
"SARINE TECHNOLOGIES LTD","DIVIDEND","27 Apr 2016","29 Apr 2016","13 May 2016","USD 0.015 LESS TAX"
"SING INVESTMENTS & FINANCE LTD","DIVIDEND","27 Apr 2016","29 Apr 2016","09 May 2016","SGD 0.05 ONE-TIER TAX"
"SYNGENTA ADR","DIVIDEND","27 Apr 2016","29 Apr 2016","24 Jun 2016","USD 1.869461 TAX EXEMPT"
"UNITED OVERSEAS BANK LTD","DIVIDEND","27 Apr 2016","29 Apr 2016","11 May 2016","SGD 0.35 ONE-TIER TAX"
"UNITED OVERSEAS INSURANCE LTD","DIVIDEND","27 Apr 2016","29 Apr 2016","11 May 2016","SGD 0.02 ONE-TIER TAX"
"UNITED OVERSEAS INSURANCE LTD","DIVIDEND","27 Apr 2016","29 Apr 2016","11 May 2016","SGD 0.12 ONE-TIER TAX"
"OVERSEA-CHINESE BANKING CORP","DIVIDEND","26 Apr 2016","28 Apr 2016","14 Jun 2016","SCRIP DIV SCH SGD 0.18 ONE-TIER TAX"
"SEMBCORP MARINE LTD","DIVIDEND","26 Apr 2016","28 Apr 2016","13 May 2016","SGD 0.02 ONE-TIER TAX"
"CAPITALAND LIMITED","DIVIDEND","25 Apr 2016","27 Apr 2016","09 May 2016","SGD 0.09 ONE-TIER TAX"
"GOLDEN AGRI-RESOURCES LTD","DIVIDEND","25 Apr 2016","27 Apr 2016","09 May 2016","SGD 0.00502"
"LONZA GROUP LTD","DIVIDEND","25 Apr 2016","27 Apr 2016","28 Apr 2016","CHF 2.5"
"SING HOLDINGS LIMITED","DIVIDEND","25 Apr 2016","27 Apr 2016","10 May 2016","SGD 0.0025 ONE-TIER TAX"
"SING HOLDINGS LIMITED","DIVIDEND","25 Apr 2016","27 Apr 2016","10 May 2016","SGD 0.01 ONE-TIER TAX"
"SINGAPORE TECH ENGINEERING LTD","DIVIDEND","25 Apr 2016","27 Apr 2016","10 May 2016","SGD 0.05 ONE-TIER TAX"
"SINGAPORE TECH ENGINEERING LTD","DIVIDEND","25 Apr 2016","27 Apr 2016","10 May 2016","SGD 0.05 ONE-TIER TAX"
"KEPPEL CORPORATION LIMITED","DIVIDEND","22 Apr 2016","26 Apr 2016","06 May 2016","SGD 0.22 ONE-TIER TAX"
"SEMBCORP INDUSTRIES LTD","DIVIDEND","22 Apr 2016","26 Apr 2016","17 May 2016","SGD 0.06 ONE-TIER TAX"
"ARA ASSET MANAGEMENT LIMITED","DIVIDEND","21 Apr 2016","25 Apr 2016","06 May 2016","SGD 0.027 ONE-TIER TAX"
"GREAT EASTERN HLDGS LTD","DIVIDEND","21 Apr 2016","25 Apr 2016","09 May 2016","SGD 0.05 ONE-TIER TAX"
"GREAT EASTERN HLDGS LTD","DIVIDEND","21 Apr 2016","25 Apr 2016","09 May 2016","SGD 0.4 ONE-TIER TAX"
"KEPPEL TELE & TRAN","DIVIDEND","21 Apr 2016","25 Apr 2016","10 May 2016","SGD 0.035 ONE-TIER TAX"
"STARHUB LTD","DIVIDEND","21 Apr 2016","25 Apr 2016","06 May 2016","SGD 0.05 ONE-TIER TAX"
"SUNNINGDALE TECH LTD","DIVIDEND","21 Apr 2016","25 Apr 2016","10 May 2016","SGD 0.05 ONE-TIER TAX"
"STRAITS TRADING CO. LTD","DIVIDEND","18 Apr 2016","20 Apr 2016","06 May 2016","SGD 0.04 ONE-TIER TAX"
"IFAST CORPORATION LTD.","DIVIDEND","14 Apr 2016","18 Apr 2016","29 Apr 2016","SGD 0.0075 ONE-TIER TAX"
"PERENNIAL S$300M4.65%N181023","INTEREST","14 Apr 2016","18 Apr 2016","25 Apr 2016","231015-220416 4.65%"
"SINGAPORE O&G LTD.","DIVIDEND","14 Apr 2016","18 Apr 2016","04 May 2016","SGD 0.0115 ONE-TIER TAX"
"TIGER AIRWAYS S$219.67M2%PERPC","INTEREST","13 Apr 2016","15 Apr 2016","22 Apr 2016","221015 - 210416 2%"
"CEI CONTRACT MANUFACTURING LTD","DIVIDEND","12 Apr 2016","14 Apr 2016","27 Apr 2016","SGD 0.048 ONE-TIER TAX"
"CEI CONTRACT MANUFACTURING LTD","DIVIDEND","12 Apr 2016","14 Apr 2016","27 Apr 2016","SGD 0.004 ONE-TIER TAX"
"M1 LIMITED","DIVIDEND","12 Apr 2016","14 Apr 2016","21 Apr 2016","SGD 0.083 ONE-TIER TAX"
"HYFLUX 6% CUM PREF CLASS A 10","DIVIDEND","08 Apr 2016","12 Apr 2016","25 Apr 2016","251015 - 240416 6% ONE-TIER TAX"
"GENTING SPS$500M5.125% PERPSEC","INTEREST","07 Apr 2016","11 Apr 2016","18 Apr 2016","181015 - 170416 5.125%"
"QIAN HU CORPORATION LIMITED","DIVIDEND","07 Apr 2016","11 Apr 2016","21 Apr 2016","SGD 0.002 ONE-TIER TAX"
"ROXY-PACIFIC HOLDINGS LIMITED","DIVIDEND","07 Apr 2016","11 Apr 2016","21 Apr 2016","SGD 0.01297 ONE-TIER TAX"
"USP GROUP LIMITED","ENTITL.","06 Apr 2016","08 Apr 2016","","SHARE CONSO OFFER OF 1 FOR 10"
"BIOSENSORS INT'L GROUP LTD.","ENTITL.","05 Apr 2016","07 Apr 2016","","ST SHDER APPRV"
"THE STRATECH GROUP LIMITED","ENTITL.","05 Apr 2016","07 Apr 2016","","SHARE CONSOL OFFER OF 1 FOR 10"
"DBXT CSI300 ETF 10","DIVIDEND","04 Apr 2016","06 Apr 2016","29 Apr 2016","USD 0.1943"
"DBXT IBOXX US TREAS ETF 5","DIVIDEND","04 Apr 2016","06 Apr 2016","29 Apr 2016","USD 4.4979"
"DBXT MSCI ASIA EXJAP HDY ETF10","DIVIDEND","04 Apr 2016","06 Apr 2016","29 Apr 2016","USD 0.04"
"DBXT MSCI RUSSIA CAP 25 ETF 10","DIVIDEND","04 Apr 2016","06 Apr 2016","29 Apr 2016","USD 0.01"
"DBXT S&P/ASX 200 ETF 10","DIVIDEND","04 Apr 2016","06 Apr 2016","29 Apr 2016","AUD 2.0328"
"DBXT STOXX GLOB DIV 100 ETF 10","DIVIDEND","04 Apr 2016","06 Apr 2016","29 Apr 2016","EUR 0.87"
"OSIM INTERNATIONAL LTD","DIVIDEND","04 Apr 2016","06 Apr 2016","13 Apr 2016","SGD 0.02 ONE-TIER TAX"
"MFS TECHNOLOGY LTD","ENTITL.","31 Mar 2016","04 Apr 2016","12 Apr 2016","CAP REDUCTION SGD 0.10733"
"AVJENNINGS LIMITED","DIVIDEND","30 Mar 2016","01 Apr 2016","15 Apr 2016","AUD 0.015"
"CROESUS RETAIL TRUST","DIVIDEND","30 Mar 2016","01 Apr 2016","29 Jun 2016","SGD 0.0195 TAX EXEMPT"
"AIMS PROPERTY SECURITIES FUND","DIVIDEND","29 Mar 2016","31 Mar 2016","17 Jun 2016","ESTIMATED AUD 0.001333"
"MURATA MFG CO. LTD 100","DIVIDEND","29 Mar 2016","31 Mar 2016","30 Jun 2016","JPY 110 LESS TAX"
"HSI 20000 UB ECW160330","ENTITL.","28 Mar 2016","30 Mar 2016","05 Apr 2016","EXPIRYOFWARRANT SGD 0.1189812"
"PRUDENTIAL PLC","DIVIDEND","24 Mar 2016","29 Mar 2016","27 May 2016","GBP 0.1 TAX EXEMPT"
"PRUDENTIAL PLC","DIVIDEND","24 Mar 2016","29 Mar 2016","27 May 2016","GBP 0.2647 TAX EXEMPT"
"ISHARES DJ US TECH IYW 10","DIVIDEND","23 Mar 2016","28 Mar 2016","30 Mar 2016","USD 0.399165 LESS TAX"
"ISHARES S&P500 IVV 10","DIVIDEND","23 Mar 2016","28 Mar 2016","30 Mar 2016","USD 1.118233 LESS TAX"
"N215100F 171001","INTEREST","23 Mar 2016","28 Mar 2016","01 Apr 2016","1.375%"
"N511100W 160401","INTEREST","23 Mar 2016","28 Mar 2016","01 Apr 2016","1.125%"
"N511100W 160401","ENTITL.","23 Mar 2016","28 Mar 2016","01 Apr 2016","REDEMPTION 100%"
"N513100T 180401","INTEREST","23 Mar 2016","28 Mar 2016","01 Apr 2016","0.5%"
"N514100H 191001","INTEREST","23 Mar 2016","28 Mar 2016","01 Apr 2016","1.625%"
"N710100Z 170401","INTEREST","23 Mar 2016","28 Mar 2016","01 Apr 2016","2.375%"
"NA12100N 420401","INTEREST","23 Mar 2016","28 Mar 2016","01 Apr 2016","2.75%"
"8TELECOM INTL HOLDINGS CO LTD","DIVIDEND","22 Mar 2016","24 Mar 2016","15 Jul 2016","CNY 4.486"
"ASCOTT RESIDENCE TRUST","DIVIDEND","18 Mar 2016","22 Mar 2016","27 Apr 2016","1/1-22/3/16 EST SGD 0.0136"
"ASCOTT RESIDENCE TRUST","DIVIDEND","18 Mar 2016","22 Mar 2016","27 Apr 2016","1/1-22/3/16 EST SGD 0.0019 LESS TAX"
